Miasto,Powiat,Województwo,Powierzchnia,Liczba ludności,Gęstość zaludnienia,link,lat,lng,SIMC,Kategoria
Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,750,12412,1655,https://pl.wikipedia.org/wiki/Golub-Dobrzy%C5%84,53.1125,19.051389,0983155,>10k
Gołańcz,wągrowiecki,wielkopolskie,1264,3158,250,https://pl.wikipedia.org/wiki/Go%C5%82a%C5%84cz,52.943889,17.299444,0966820,<10k
Gołdap,gołdapski,warmińsko-mazurskie,1720,13600,791,https://pl.wikipedia.org/wiki/Go%C5%82dap,54.316111,22.309444,0977700,>10k
Goniądz,moniecki,podlaskie,428,1819,425,https://pl.wikipedia.org/wiki/Goni%C4%85dz,53.489722,22.733333,0957360,<10k
Goraj,biłgorajski,lubelskie,762,917,120,https://pl.wikipedia.org/wiki/Goraj,50.720278,22.667778,0887693,<10k
Gorlice,gorlicki,małopolskie,2353,26973,1146,https://pl.wikipedia.org/wiki/Gorlice,49.654444,21.159167,0959903,>10k
Gorzów Śląski,oleski,opolskie,1854,2439,132,https://pl.wikipedia.org/wiki/Gorz%C3%B3w_%C5%9Al%C4%85ski,51.028333,18.424444,0931490,<10k
Gorzów Wielkopolski,Gorzów Wielkopolski[a],lubuskie,8572,122589,1430,https://pl.wikipedia.org/wiki/Gorz%C3%B3w_Wielkopolski,52.730833,15.238333,0935140,>100k
Gostynin,gostyniński,mazowieckie,3240,18355,567,https://pl.wikipedia.org/wiki/Gostynin,52.429167,19.461667,0968977,>10k
Gostyń,gostyński,wielkopolskie,1109,20250,1826,https://pl.wikipedia.org/wiki/Gosty%C5%84,51.886111,17.0125,0954395,>10k
Gościno,kołobrzeski,zachodniopomorskie,570,2439,428,https://pl.wikipedia.org/wiki/Go%C5%9Bcino,54.050833,15.6525,0306236,<10k
Gozdnica,żagański,lubuskie,2392,2977,124,https://pl.wikipedia.org/wiki/Gozdnica,51.438889,15.095556,0988388,<10k
Góra,górowski,dolnośląskie,1365,11574,848,https://pl.wikipedia.org/wiki/G%C3%B3ra_(wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie),51.668056,16.539444,0954449,>10k
Góra Kalwaria,piaseczyński,mazowieckie,1367,11988,877,https://pl.wikipedia.org/wiki/G%C3%B3ra_Kalwaria,51.984722,21.213889,0920321,>10k
Górowo Iławeckie,bartoszycki,warmińsko-mazurskie,332,3887,1171,https://pl.wikipedia.org/wiki/G%C3%B3rowo_I%C5%82aweckie,54.284444,20.495556,0964643,<10k
Górzno,brodnicki,kujawsko-pomorskie,343,1403,409,https://pl.wikipedia.org/wiki/G%C3%B3rzno,53.198333,19.644444,0983244,<10k
Grabów nad Prosną,ostrzeszowski,wielkopolskie,258,1912,741,https://pl.wikipedia.org/wiki/Grab%C3%B3w_nad_Prosn%C4%85,51.505,18.120833,0936760,<10k
Grajewo,grajewski,podlaskie,1894,21709,1146,https://pl.wikipedia.org/wiki/Grajewo,53.646667,22.455,0957376,>10k
Grodków,brzeski,opolskie,988,8501,860,https://pl.wikipedia.org/wiki/Grodk%C3%B3w,50.698056,17.384444,0965401,<10k
Grodzisk Mazowiecki,grodziski,mazowieckie,1319,32452,2460,https://pl.wikipedia.org/wiki/Grodzisk_Mazowiecki,52.106389,20.631667,0920380,>10k
Grodzisk Wielkopolski,grodziski,wielkopolskie,1821,14713,808,https://pl.wikipedia.org/wiki/Grodzisk_Wielkopolski,52.225,16.366667,0970810,>10k
Grójec,grójecki,mazowieckie,857,16785,1959,https://pl.wikipedia.org/wiki/Gr%C3%B3jec,51.865556,20.8675,0973352,>10k
Grudziądz,Grudziądz[a],kujawsko-pomorskie,5776,93564,1620,https://pl.wikipedia.org/wiki/Grudzi%C4%85dz,53.486944,18.756944,0983333,>50k
Grybów,nowosądecki,małopolskie,1695,5986,353,https://pl.wikipedia.org/wiki/Gryb%C3%B3w,49.624444,20.948333,0960042,<10k
Gryfice,gryficki,zachodniopomorskie,1240,16212,1307,https://pl.wikipedia.org/wiki/Gryfice,53.916389,15.199722,0979053,>10k
Gryfino,gryfiński,zachodniopomorskie,1181,20923,1772,https://pl.wikipedia.org/wiki/Gryfino,53.253056,14.4875,0979076,>10k
Gryfów Śląski,lwówecki,dolnośląskie,663,6509,982,https://pl.wikipedia.org/wiki/Gryf%C3%B3w_%C5%9Al%C4%85ski,51.027222,15.419167,0936003,<10k
Gubin,krośnieński,lubuskie,2068,16528,799,https://pl.wikipedia.org/wiki/Gubin,51.946797,14.727731,0988394,>10k
Hajnówka,hajnowski,podlaskie,2129,20265,952,https://pl.wikipedia.org/wiki/Hajn%C3%B3wka,52.738889,23.583333,0923035,>10k
Halinów,miński,mazowieckie,284,3714,1308,https://pl.wikipedia.org/wiki/Halin%C3%B3w,52.225833,21.352778,0002766,<10k
Hel,pucki,pomorskie,2295,3212,140,https://pl.wikipedia.org/wiki/Hel_(miasto),54.611667,18.808056,0934501,<10k
Hrubieszów,hrubieszowski,lubelskie,3303,17232,522,https://pl.wikipedia.org/wiki/Hrubiesz%C3%B3w,50.8025,23.891944,0987800,>10k
Iława,iławski,warmińsko-mazurskie,2188,33206,1518,https://pl.wikipedia.org/wiki/I%C5%82awa,53.596389,19.565556,0964650,>10k
Iłowa,żagański,lubuskie,918,3844,419,https://pl.wikipedia.org/wiki/I%C5%82owa,51.501944,15.205833,0988402,<10k
Iłża,radomski,mazowieckie,1583,4642,293,https://pl.wikipedia.org/wiki/I%C5%82%C5%BCa,51.162222,21.236944,0973375,<10k
Imielin,bieruńsko-lędziński,śląskie,2799,9269,331,https://pl.wikipedia.org/wiki/Imielin,50.145278,19.185833,0941582,<10k
Inowrocław,inowrocławski,kujawsko-pomorskie,3042,71674,2356,https://pl.wikipedia.org/wiki/Inowroc%C5%82aw,52.795833,18.261111,0928989,>50k
Ińsko,stargardzki,zachodniopomorskie,748,1892,253,https://pl.wikipedia.org/wiki/I%C5%84sko,53.435833,15.550278,0979099,<10k
Iwonicz-Zdrój,krośnieński,podkarpackie,589,1742,296,https://pl.wikipedia.org/wiki/Iwonicz-Zdr%C3%B3j,49.573333,21.793611,0953007,<10k
Izbica Kujawska,włocławski,kujawsko-pomorskie,224,2594,1158,https://pl.wikipedia.org/wiki/Izbica_Kujawska,52.419444,18.760278,0985734,<10k
Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,335,3730,1113,https://pl.wikipedia.org/wiki/Jab%C5%82onowo_Pomorskie,53.388889,19.152778,0983474,<10k
Janikowo,inowrocławski,kujawsko-pomorskie,951,8638,908,https://pl.wikipedia.org/wiki/Janikowo,52.747778,18.113056,0929109,<10k
Janowiec Wielkopolski,żniński,kujawsko-pomorskie,304,3897,1282,https://pl.wikipedia.org/wiki/Janowiec_Wielkopolski,52.756944,17.488056,0929167,<10k
Janów Lubelski,janowski,lubelskie,1480,11661,788,https://pl.wikipedia.org/wiki/Jan%C3%B3w_Lubelski,50.706667,22.410556,0980493,>10k
Jaraczewo,jarociński,wielkopolskie,1007,1403,139,https://pl.wikipedia.org/wiki/Jaraczewo,51.970278,17.296167,0199088,<10k
Jarocin,jarociński,wielkopolskie,2196,26453,1205,https://pl.wikipedia.org/wiki/Jarocin,51.973611,17.501111,0936776,>10k
Jarosław,jarosławski,podkarpackie,3461,37073,1071,https://pl.wikipedia.org/wiki/Jaros%C5%82aw_(wojew%C3%B3dztwo_podkarpackie),50.018611,22.679722,0972192,>10k
Jasień,żarski,lubuskie,479,4215,880,https://pl.wikipedia.org/wiki/Jasie%C5%84_(wojew%C3%B3dztwo_lubuskie),51.751389,15.0175,0988431,<10k
Jasło,jasielski,podkarpackie,3652,34542,946,https://pl.wikipedia.org/wiki/Jas%C5%82o,49.747778,21.471389,0953059,>10k
Jastarnia,pucki,pomorskie,506,2679,529,https://pl.wikipedia.org/wiki/Jastarnia,54.699444,18.676667,0934518,<10k
Jastrowie,złotowski,wielkopolskie,7230,8580,119,https://pl.wikipedia.org/wiki/Jastrowie,53.421667,16.815556,0966843,<10k
Jastrzębie-Zdrój,Jastrzębie-Zdrój[a],śląskie,8533,88038,1032,https://pl.wikipedia.org/wiki/Jastrz%C4%99bie-Zdr%C3%B3j,49.950278,18.575278,0940163,>50k
Jawor,jaworski,dolnośląskie,1880,22462,1195,https://pl.wikipedia.org/wiki/Jawor_(miasto),51.048611,16.196944,0954120,>10k
Jaworzno,Jaworzno[a],śląskie,15259,90368,592,https://pl.wikipedia.org/wiki/Jaworzno,50.204444,19.27,0940335,>50k
Jaworzyna Śląska,świdnicki,dolnośląskie,434,5118,1179,https://pl.wikipedia.org/wiki/Jaworzyna_%C5%9Al%C4%85ska,50.912778,16.431944,0984019,<10k
Jedlicze,krośnieński,podkarpackie,1060,5658,534,https://pl.wikipedia.org/wiki/Jedlicze,49.716389,21.645556,0953237,<10k
Jedlina-Zdrój,wałbrzyski,dolnośląskie,1745,4789,274,https://pl.wikipedia.org/wiki/Jedlina-Zdr%C3%B3j,50.721111,16.338889,0984025,<10k
Jedwabne,łomżyński,podlaskie,454,1607,354,https://pl.wikipedia.org/wiki/Jedwabne,53.286111,22.3025,0957382,<10k
Jelcz-Laskowice,oławski,dolnośląskie,1706,15648,917,https://pl.wikipedia.org/wiki/Jelcz-Laskowice,51.035278,17.341111,0987118,>10k
Jelenia Góra,Jelenia Góra[a],dolnośląskie,10922,78335,717,https://pl.wikipedia.org/wiki/Jelenia_G%C3%B3ra,50.903889,15.736389,0935802,>50k
Jeziorany,olsztyński,warmińsko-mazurskie,341,3135,919,https://pl.wikipedia.org/wiki/Jeziorany,53.978611,20.746389,0964703,<10k
Jędrzejów,jędrzejowski,świętokrzyskie,1137,14812,1303,https://pl.wikipedia.org/wiki/J%C4%99drzej%C3%B3w,50.639444,20.304167,0947030,>10k
Jordanów,suski,małopolskie,2103,5152,245,https://pl.wikipedia.org/wiki/Jordan%C3%B3w,49.649167,19.83,0960154,<10k
Józefów,biłgorajski,lubelskie,500,2473,495,https://pl.wikipedia.org/wiki/J%C3%B3zef%C3%B3w_(powiat_bi%C5%82gorajski),50.48345,23.049989,0987897,<10k
Józefów,otwocki,mazowieckie,2391,20741,867,https://pl.wikipedia.org/wiki/J%C3%B3zef%C3%B3w_(powiat_otwocki),52.135556,21.236944,0920404,>10k
Józefów nad Wisłą,opolski,lubelskie,365,902,247,https://pl.wikipedia.org/wiki/J%C3%B3zef%C3%B3w_nad_Wis%C5%82%C4%85,51.040833,21.829167,0382036,<10k
Jutrosin,rawicki,wielkopolskie,162,1966,1214,https://pl.wikipedia.org/wiki/Jutrosin,51.651389,17.169444,0954461,<10k
Kalety,tarnogórski,śląskie,7629,8548,112,https://pl.wikipedia.org/wiki/Kalety,50.565,18.8825,0931589,<10k
Kalisz,Kalisz[a],wielkopolskie,6942,99106,1428,https://pl.wikipedia.org/wiki/Kalisz,51.7625,18.089722,0936569,>50k
Kalisz Pomorski,drawski,zachodniopomorskie,1196,4363,365,https://pl.wikipedia.org/wiki/Kalisz_Pomorski,53.298333,15.905833,0949916,<10k
Kalwaria Zebrzydowska,wadowicki,małopolskie,550,4469,813,https://pl.wikipedia.org/wiki/Kalwaria_Zebrzydowska,49.868056,19.676944,0924253,<10k
Kałuszyn,miński,mazowieckie,1230,2862,233,https://pl.wikipedia.org/wiki/Ka%C5%82uszyn,52.208333,21.811667,0975380,<10k
Kamienna Góra,kamiennogórski,dolnośląskie,1299,4467,344,https://pl.wikipedia.org/wiki/Kamienna_G%C3%B3ra,50.784167,16.035556,0936026,<10k
Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie,1804,18585,1030,https://pl.wikipedia.org/wiki/Kamieniec_Z%C4%85bkowicki,50.526389,16.878056,0852631,>10k
Kamień Krajeński,sępoleński,kujawsko-pomorskie,365,2335,640,https://pl.wikipedia.org/wiki/Kamie%C5%84_Kraje%C5%84ski,53.533333,17.519444,0929210,<10k
Kamień Pomorski,kamieński,zachodniopomorskie,1074,8677,808,https://pl.wikipedia.org/wiki/Kamie%C5%84_Pomorski,53.968889,14.779167,0979113,<10k
Kamieńsk,radomszczański,łódzkie,1199,2703,225,https://pl.wikipedia.org/wiki/Kamie%C5%84sk,51.204444,19.496944,0541180,<10k
Kamionka,lubartowski,lubelskie,589,1712,291,https://pl.wikipedia.org/wiki/Kamionka_(powiat_lubartowski),51.470556,22.463056,0382480,<10k
Kańczuga,przeworski,podkarpackie,760,3131,412,https://pl.wikipedia.org/wiki/Ka%C5%84czuga,49.983333,22.411667,0972424,<10k
Karczew,otwocki,mazowieckie,2812,9811,349,https://pl.wikipedia.org/wiki/Karczew,52.078056,21.250833,0920500,<10k
Kargowa,zielonogórski,lubuskie,455,3774,829,https://pl.wikipedia.org/wiki/Kargowa,52.071944,15.865278,0988448,<10k
Karlino,białogardzki,zachodniopomorskie,940,5862,624,https://pl.wikipedia.org/wiki/Karlino,54.035278,15.876944,0949968,<10k
Karpacz,karkonoski,dolnośląskie,3799,4487,118,https://pl.wikipedia.org/wiki/Karpacz,50.778333,15.757222,0936032,<10k
Kartuzy,kartuski,pomorskie,735,14276,1942,https://pl.wikipedia.org/wiki/Kartuzy,54.335,18.201389,0934547,>10k
Katowice,Katowice[a],śląskie,16464,290553,1765,https://pl.wikipedia.org/wiki/Katowice,50.264167,19.023611,0937474,>250k
Kazimierz Dolny,puławski,lubelskie,3044,2534,83,https://pl.wikipedia.org/wiki/Kazimierz_Dolny,51.322069,21.945747,0955905,<10k
Kazimierza Wielka,kazimierski,świętokrzyskie,614,5429,884,https://pl.wikipedia.org/wiki/Kazimierza_Wielka,50.273611,20.484444,0947076,<10k
Kąty Wrocławskie,wrocławski,dolnośląskie,861,7028,816,https://pl.wikipedia.org/wiki/K%C4%85ty_Wroc%C5%82awskie,51.030833,16.7675,0987124,<10k
Kcynia,nakielski,kujawsko-pomorskie,684,4515,660,https://pl.wikipedia.org/wiki/Kcynia,52.993611,17.486667,0929233,<10k
Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie,12371,60021,485,https://pl.wikipedia.org/wiki/K%C4%99dzierzyn-Ko%C5%BAle,50.344722,18.208611,0965424,>50k
Kępice,słupski,pomorskie,611,3558,582,https://pl.wikipedia.org/wiki/K%C4%99pice,54.241111,16.889722,0977344,<10k
Kępno,kępiński,wielkopolskie,779,13889,1783,https://pl.wikipedia.org/wiki/K%C4%99pno,51.281111,17.986944,0936871,>10k
Kętrzyn,kętrzyński,warmińsko-mazurskie,1035,26788,2588,https://pl.wikipedia.org/wiki/K%C4%99trzyn,54.076944,21.375278,0964710,>10k
Kęty,oświęcimski,małopolskie,2305,18443,800,https://pl.wikipedia.org/wiki/K%C4%99ty,49.883333,19.221944,0924365,>10k
Kielce,Kielce[a],świętokrzyskie,10965,193415,1764,https://pl.wikipedia.org/wiki/Kielce,50.874167,20.633333,0945930,>100k
Kietrz,głubczycki,opolskie,1874,5874,313,https://pl.wikipedia.org/wiki/Kietrz,50.079167,18.008889,0965602,<10k
Kisielice,iławski,warmińsko-mazurskie,337,2081,618,https://pl.wikipedia.org/wiki/Kisielice,53.606944,19.259444,0932749,<10k
Kleczew,koniński,wielkopolskie,780,4097,525,https://pl.wikipedia.org/wiki/Kleczew,52.371111,18.176389,0949023,<10k
Kleszczele,hajnowski,podlaskie,4671,1216,26,https://pl.wikipedia.org/wiki/Kleszczele,52.574167,23.325833,0031727,<10k
Klimontów,sandomierski,świętokrzyskie,466,1884,404,https://pl.wikipedia.org/wiki/Klimont%C3%B3w,50.656389,21.452778,0795933,<10k
Kluczbork,kluczborski,opolskie,1235,23254,1883,https://pl.wikipedia.org/wiki/Kluczbork,50.973056,18.214167,0965619,>10k
Kłecko,gnieźnieński,wielkopolskie,962,2605,271,https://pl.wikipedia.org/wiki/K%C5%82ecko,52.631667,17.430556,0970840,<10k
Kłobuck,kłobucki,śląskie,4746,12756,269,https://pl.wikipedia.org/wiki/K%C5%82obuck,50.905,18.937778,0931678,>10k
Kłodawa,kolski,wielkopolskie,431,6355,1474,https://pl.wikipedia.org/wiki/K%C5%82odawa,52.255278,18.913889,0949046,<10k
Kłodzko,kłodzki,dolnośląskie,2484,26421,1064,https://pl.wikipedia.org/wiki/K%C5%82odzko,50.437778,16.652778,0984077,>10k
Knurów,gliwicki,śląskie,3395,37801,1113,https://pl.wikipedia.org/wiki/Knur%C3%B3w,50.221667,18.670556,0940849,>10k
Knyszyn,moniecki,podlaskie,2368,2726,115,https://pl.wikipedia.org/wiki/Knyszyn,53.3125,22.919444,0923213,<10k
Kobylin,krotoszyński,wielkopolskie,487,3222,662,https://pl.wikipedia.org/wiki/Kobylin,51.71615,17.226681,0954478,<10k
Kobyłka,wołomiński,mazowieckie,1964,25149,1280,https://pl.wikipedia.org/wiki/Koby%C5%82ka,52.339167,21.195833,0920539,>10k
Kock,lubartowski,lubelskie,1678,3238,193,https://pl.wikipedia.org/wiki/Kock,51.641342,22.447983,0956069,<10k
Kolbuszowa,kolbuszowski,podkarpackie,798,8922,1118,https://pl.wikipedia.org/wiki/Kolbuszowa,50.244167,21.775,0974392[3],<10k
Kolno,kolneński,podlaskie,2507,10143,405,https://pl.wikipedia.org/wiki/Kolno,53.410556,21.933889,0957420,>10k
Kolonowskie,strzelecki,opolskie,5570,3296,59,https://pl.wikipedia.org/wiki/Kolonowskie,50.653056,18.388889,0965631,<10k
Koluszki,łódzki wschodni,łódzkie,990,12776,1291,https://pl.wikipedia.org/wiki/Koluszki,51.737778,19.8125,0967831,>10k
Kołaczyce,jasielski,podkarpackie,715,1427,200,https://pl.wikipedia.org/wiki/Ko%C5%82aczyce,49.808333,21.440278,0353968,<10k
Koło,kolski,wielkopolskie,1385,21247,1534,https://pl.wikipedia.org/wiki/Ko%C5%82o_(miasto),52.201944,18.647222,0949052,>10k
Kołobrzeg,kołobrzeski,zachodniopomorskie,2567,46198,1800,https://pl.wikipedia.org/wiki/Ko%C5%82obrzeg,54.177778,15.576944,0950026,>10k
Koniecpol,częstochowski,śląskie,3692,5846,158,https://pl.wikipedia.org/wiki/Koniecpol,50.774167,19.688889,0931750,<10k
Konin,Konin[a],wielkopolskie,8231,72539,881,https://pl.wikipedia.org/wiki/Konin,52.2275,18.261389,0948667,>50k
Konstancin-Jeziorna,piaseczyński,mazowieckie,1774,16889,952,https://pl.wikipedia.org/wiki/Konstancin-Jeziorna,52.083333,21.120833,0920634,>10k
Konstantynów Łódzki,pabianicki,łódzkie,2725,18335,673,https://pl.wikipedia.org/wiki/Konstantyn%C3%B3w_%C5%81%C3%B3dzki,51.747222,19.326389,0958826,>10k
Końskie,konecki,świętokrzyskie,1770,18878,1067,https://pl.wikipedia.org/wiki/Ko%C5%84skie,51.188889,20.406111,0947136,>10k
Koprzywnica,sandomierski,świętokrzyskie,1790,2431,136,https://pl.wikipedia.org/wiki/Koprzywnica,50.590556,21.583611,0796588,<10k
Korfantów,nyski,opolskie,1023,1771,173,https://pl.wikipedia.org/wiki/Korfant%C3%B3w,50.489167,17.596944,0496946,<10k
Koronowo,bydgoski,kujawsko-pomorskie,2815,11070,393,https://pl.wikipedia.org/wiki/Koronowo,53.314444,17.937222,0929285,>10k
Korsze,kętrzyński,warmińsko-mazurskie,403,4145,1029,https://pl.wikipedia.org/wiki/Korsze,54.171389,21.141111,0964726,<10k
Kosów Lacki,sokołowski,mazowieckie,1157,2071,179,https://pl.wikipedia.org/wiki/Kos%C3%B3w_Lacki,52.595556,22.146667,0676128,<10k
Kostrzyn,poznański,wielkopolskie,798,9697,1215,https://pl.wikipedia.org/wiki/Kostrzyn,52.397919,17.228156,0970885,<10k
Kostrzyn nad Odrą,gorzowski,lubuskie,4614,17704,384,https://pl.wikipedia.org/wiki/Kostrzyn_nad_Odr%C4%85,52.588333,14.666667,0935452,>10k
Koszalin,Koszalin[a],zachodniopomorskie,9834,106235,1080,https://pl.wikipedia.org/wiki/Koszalin,54.190278,16.181667,0949448,>100k
Koszyce,proszowicki,małopolskie,325,775,238,https://pl.wikipedia.org/wiki/Koszyce_(wojew%C3%B3dztwo_ma%C5%82opolskie),50.170278,20.573056,0244630,<10k
Kościan,kościański,wielkopolskie,901,23716,2632,https://pl.wikipedia.org/wiki/Ko%C5%9Bcian,52.081389,16.640278,0954484,>10k
Kościerzyna,kościerski,pomorskie,1586,23778,1499,https://pl.wikipedia.org/wiki/Ko%C5%9Bcierzyna,54.121944,17.981111,0934553,>10k
Kowal,włocławski,kujawsko-pomorskie,468,3468,741,https://pl.wikipedia.org/wiki/Kowal_(miasto),52.5325,19.145,0985786,<10k
Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie,445,4102,922,https://pl.wikipedia.org/wiki/Kowalewo_Pomorskie,53.154722,18.897222,0983540,<10k
Kowary,karkonoski,dolnośląskie,3739,10650,285,https://pl.wikipedia.org/wiki/Kowary,50.791667,15.833333,0936078,>10k
Koziegłowy,myszkowski,śląskie,2671,2438,91,https://pl.wikipedia.org/wiki/Kozieg%C5%82owy_(wojew%C3%B3dztwo_%C5%9Bl%C4%85skie),50.599969,19.162917,0931827,<10k
Kozienice,kozienicki,mazowieckie,1045,16877,1615,https://pl.wikipedia.org/wiki/Kozienice,51.585556,21.551111,0973524,>10k
Koźmin Wielkopolski,krotoszyński,wielkopolskie,589,6437,1093,https://pl.wikipedia.org/wiki/Ko%C5%BAmin_Wielkopolski,51.827608,17.453842,0936925,<10k
Koźminek,kaliski,wielkopolskie,604,1938,321,https://pl.wikipedia.org/wiki/Ko%C5%BAminek,51.798611,18.333333,0201141,<10k
Kożuchów,nowosolski,lubuskie,594,9337,1572,https://pl.wikipedia.org/wiki/Ko%C5%BCuch%C3%B3w,51.745278,15.594444,0988454,<10k
Kórnik,poznański,wielkopolskie,599,8023,1339,https://pl.wikipedia.org/wiki/K%C3%B3rnik,52.247122,17.090042,0970922,<10k
Krajenka,złotowski,wielkopolskie,376,3603,958,https://pl.wikipedia.org/wiki/Krajenka,53.296922,16.990697,0966932,<10k
Kraków,Kraków[a],małopolskie,32685,779966,2386,https://pl.wikipedia.org/wiki/Krak%C3%B3w,50.061389,19.938333,0950463,>500k
Krapkowice,krapkowicki,opolskie,2101,15962,760,https://pl.wikipedia.org/wiki/Krapkowice,50.474722,17.967222,0965677,>10k
Krasnobród,zamojski,lubelskie,4213,18383,436,https://pl.wikipedia.org/wiki/Krasnobr%C3%B3d,50.544722,23.215278,0891281,>10k
Krasnystaw,krasnostawski,lubelskie,699,3074,440,https://pl.wikipedia.org/wiki/Krasnystaw,50.983889,23.169722,0930070,<10k
Kraśnik,kraśnicki,lubelskie,2610,33917,1300,https://pl.wikipedia.org/wiki/Kra%C5%9Bnik,50.921389,22.220833,0956112,>10k
Krobia,gostyński,wielkopolskie,705,4338,615,https://pl.wikipedia.org/wiki/Krobia,51.775,16.983333,0954538,<10k
Krosno,Krosno[a],podkarpackie,4472,45948,1027,https://pl.wikipedia.org/wiki/Krosno,49.682222,21.765833,0952410,>10k
Krosno Odrzańskie,krośnieński,lubuskie,815,11155,1369,https://pl.wikipedia.org/wiki/Krosno_Odrza%C5%84skie,52.052778,15.113056,0988460,>10k
Krośniewice,kutnowski,łódzkie,418,4258,1019,https://pl.wikipedia.org/wiki/Kro%C5%9Bniewice,52.253611,19.17,0969095,<10k
Krotoszyn,krotoszyński,wielkopolskie,2254,28701,1273,https://pl.wikipedia.org/wiki/Krotoszyn,51.695556,17.436944,0936931,>10k
Kruszwica,inowrocławski,kujawsko-pomorskie,1023,9331,912,https://pl.wikipedia.org/wiki/Kruszwica,52.674167,18.326389,0929380,<10k
Krynica Morska,nowodworski,pomorskie,11856,1290,11,https://pl.wikipedia.org/wiki/Krynica_Morska,54.3825,19.444444,0932755,<10k
Krynica-Zdrój,nowosądecki,małopolskie,3968,10456,264,https://pl.wikipedia.org/wiki/Krynica-Zdr%C3%B3j,49.411667,20.955,0960390,>10k
Krynki,sokólski,podlaskie,383,2313,604,https://pl.wikipedia.org/wiki/Krynki,53.265278,23.772192,0032655,<10k
Krzanowice,raciborski,śląskie,308,2134,693,https://pl.wikipedia.org/wiki/Krzanowice,50.018056,18.125278,0215427,<10k
Krzepice,kłobucki,śląskie,2766,4361,158,https://pl.wikipedia.org/wiki/Krzepice,50.967222,18.731944,0931862,<10k
Krzeszowice,krakowski,małopolskie,1697,9969,587,https://pl.wikipedia.org/wiki/Krzeszowice,50.135,19.631944,0951570,<10k
Krzywiń,kościański,wielkopolskie,227,1721,758,https://pl.wikipedia.org/wiki/Krzywi%C5%84,51.963239,16.820006,0954544,<10k
Krzyż Wielkopolski,czarnkowsko-trzcianecki,wielkopolskie,581,6147,1058,https://pl.wikipedia.org/wiki/Krzy%C5%BC_Wielkopolski,52.879167,16.0125,0966961,<10k
Książ Wielkopolski,śremski,wielkopolskie,196,2718,1387,https://pl.wikipedia.org/wiki/Ksi%C4%85%C5%BC_Wielkopolski,52.060992,17.239358,0970968,<10k
Kudowa-Zdrój,kłodzki,dolnośląskie,3390,9772,288,https://pl.wikipedia.org/wiki/Kudowa-Zdr%C3%B3j,50.438333,16.239444,0984120,<10k
Kunów,ostrowiecki,świętokrzyskie,726,2883,397,https://pl.wikipedia.org/wiki/Kun%C3%B3w,50.958611,21.283056,0947202,<10k
Kutno,kutnowski,łódzkie,3359,43332,1290,https://pl.wikipedia.org/wiki/Kutno,52.231061,19.364342,0969103,>10k
Kuźnia Raciborska,raciborski,śląskie,3149,5230,166,https://pl.wikipedia.org/wiki/Ku%C5%BAnia_Raciborska,50.2,18.311389,0940884,<10k
Kwidzyn,kwidzyński,pomorskie,2154,38329,1779,https://pl.wikipedia.org/wiki/Kwidzyn,53.735833,18.930833,0932790,>10k
Lądek-Zdrój,kłodzki,dolnośląskie,2032,5466,269,https://pl.wikipedia.org/wiki/L%C4%85dek-Zdr%C3%B3j,50.343056,16.879444,0984203,<10k
Legionowo,legionowski,mazowieckie,1354,53529,3953,https://pl.wikipedia.org/wiki/Legionowo,52.406667,20.934722,0920806,>50k
Legnica,Legnica[a],dolnośląskie,5629,98436,1749,https://pl.wikipedia.org/wiki/Legnica,51.205278,16.156389,0954047,>50k
Lesko,leski,podkarpackie,1533,5406,353,https://pl.wikipedia.org/wiki/Lesko,49.474444,22.328889,0953409,<10k
Leszno,Leszno[a],wielkopolskie,3186,62854,1973,https://pl.wikipedia.org/wiki/Leszno,51.845833,16.580556,0954225[7],>50k
Leśna,lubański,dolnośląskie,856,4391,513,https://pl.wikipedia.org/wiki/Le%C5%9Bna,51.023611,15.266667,0936121,<10k
Leśnica,strzelecki,opolskie,1450,2564,177,https://pl.wikipedia.org/wiki/Le%C5%9Bnica_(wojew%C3%B3dztwo_opolskie),50.429167,18.181111,0965714,<10k
Lewin Brzeski,brzeski,opolskie,1164,5696,489,https://pl.wikipedia.org/wiki/Lewin_Brzeski,50.749722,17.618889,0965720,<10k
Leżajsk,leżajski,podkarpackie,2058,13585,660,https://pl.wikipedia.org/wiki/Le%C5%BCajsk,50.261111,22.419444,0974400,>10k
Lębork,lęborski,pomorskie,1786,35101,1965,https://pl.wikipedia.org/wiki/L%C4%99bork,54.539167,17.747222,0977373,>10k
Lędziny,bieruńsko-lędziński,śląskie,3165,16731,529,https://pl.wikipedia.org/wiki/L%C4%99dziny,50.1425,19.130833,0940890,>10k
Libiąż,chrzanowski,małopolskie,3585,16838,470,https://pl.wikipedia.org/wiki/Libi%C4%85%C5%BC,50.103611,19.315556,0940938,>10k
Lidzbark,działdowski,warmińsko-mazurskie,568,7635,1344,https://pl.wikipedia.org/wiki/Lidzbark,53.260278,19.821111,0930644,<10k
Lidzbark Warmiński,lidzbarski,warmińsko-mazurskie,1435,15489,1079,https://pl.wikipedia.org/wiki/Lidzbark_Warmi%C5%84ski,54.123692,20.581736,0964732,>10k
